ComplaintID,Timestamp,Category,ComplaintText,Sentiment
1,2024-10-26 14:30:15,Delivery,"My package is over a week late and the tracking hasn't updated in days. This is unacceptable.",Negative
2,2024-10-26 18:45:10,Product,"The build quality of the new X-1 speaker is terrible. It feels cheap and the sound crackles at high volume.",Negative
3,2024-10-27 09:12:05,Service,"I was on hold with customer service for 50 minutes just to be disconnected. I am furious.",Negative
4,2024-10-27 11:20:00,Billing,"Why was I charged twice for my subscription this month? I need this fixed immediately.",Negative
5,2024-10-28 15:05:30,Product,"Just received my order and I'm thrilled! The product works even better than advertised. Five stars!",Positive
6,2024-10-29 13:00:45,Service,"Spoke with Maria in support and she was incredibly helpful and patient. She resolved my issue in minutes.",Positive
7,2024-10-30 10:55:00,Delivery,"The delivery driver left my fragile package on the porch in the pouring rain without ringing the bell.",Negative
8,2024-11-01 19:21:50,Product,"The shirt I ordered is the wrong size and the color doesn't match the website picture.",Negative
9,2024-11-02 11:10:25,Billing,"I am trying to update my payment information but the website keeps giving me an error.",Negative
10,2024-11-03 16:40:00,General Inquiry,"Just wanted to confirm the warranty period for the coffee machine I purchased.",Neutral
11,2024-11-04 20:05:18,Product,"The battery on this laptop barely lasts two hours, even after a full charge. This is not what was promised.",Negative
12,2024-11-05 12:33:45,Service,"Your chatbot is useless. It doesn't understand simple questions and I can't find a way to talk to a human.",Negative
13,2024-11-06 08:50:00,Delivery,"My order arrived a day early! Excellent service.",Positive
14,2024-11-07 14:00:30,Billing,"I received a bill for a service I cancelled last month. Please correct this.",Negative
15,2024-11-08 17:25:00,Product,"The software for the smart camera is buggy and crashes frequently.",Negative
16,2024-11-09 09:30:15,Service,"The agent I spoke to was rude and dismissive. I'm very disappointed with the support I received.",Negative
17,2024-11-10 13:15:00,Delivery,"The box was completely crushed when it arrived. Luckily the item inside seems okay, but the packaging was poor.",Negative
18,2024-11-11 18:00:55,Product,"This is the best vacuum cleaner I have ever owned. Amazing suction power.",Positive
19,2024-11-12 21:10:00,Billing,"Could you please clarify a charge on my recent invoice? The reference number is 84321.",Neutral
20,2024-11-13 10:45:30,Service,"No one has responded to the support ticket I raised three days ago.",Negative
21,2024-11-14 15:20:00,Product,"The user manual is very confusing and poorly translated.",Negative
