ComplaintID,Timestamp,Category,ComplaintText,Sentiment,CleanedText,VADER_Sentiment,VADER_Compound
1,2024-10-26 14:30:15,Delivery,My package is over a week late and the tracking hasn't updated in days. This is unacceptable.,Negative,package week late tracking hasnt updated day unacceptable,Positive,0.357
2,2024-10-26 18:45:10,Product,The build quality of the new X-1 speaker is terrible. It feels cheap and the sound crackles at high volume.,Negative,build quality new x speaker terrible feel cheap sound crackle high volume,Negative,-0.4767
3,2024-10-27 09:12:05,Service,I was on hold with customer service for 50 minutes just to be disconnected. I am furious.,Negative,hold customer service minute disconnected furious,Negative,-0.5719
4,2024-10-27 11:20:00,Billing,Why was I charged twice for my subscription this month? I need this fixed immediately.,Negative,charged twice subscription month need fixed immediately,Negative,-0.2023
5,2024-10-28 15:05:30,Product,Just received my order and I'm thrilled! The product works even better than advertised. Five stars!,Positive,received order im thrilled product work even better advertised five star,Positive,0.7003
6,2024-10-29 13:00:45,Service,Spoke with Maria in support and she was incredibly helpful and patient. She resolved my issue in minutes.,Positive,spoke maria support incredibly helpful patient resolved issue minute,Positive,0.7755
7,2024-10-30 10:55:00,Delivery,The delivery driver left my fragile package on the porch in the pouring rain without ringing the bell.,Negative,delivery driver left fragile package porch pouring rain without ringing bell,Neutral,0.0
8,2024-11-01 19:21:50,Product,The shirt I ordered is the wrong size and the color doesn't match the website picture.,Negative,shirt ordered wrong size color doesnt match website picture,Negative,-0.4767
9,2024-11-02 11:10:25,Billing,I am trying to update my payment information but the website keeps giving me an error.,Negative,trying update payment information website keep giving error,Negative,-0.0772
10,2024-11-03 16:40:00,General Inquiry,Just wanted to confirm the warranty period for the coffee machine I purchased.,Neutral,wanted confirm warranty period coffee machine purchased,Neutral,0.0
11,2024-11-04 20:05:18,Product,"The battery on this laptop barely lasts two hours, even after a full charge. This is not what was promised.",Negative,battery laptop barely last two hour even full charge promised,Positive,0.3612
12,2024-11-05 12:33:45,Service,Your chatbot is useless. It doesn't understand simple questions and I can't find a way to talk to a human.,Negative,chatbot useless doesnt understand simple question cant find way talk human,Negative,-0.4215
13,2024-11-06 08:50:00,Delivery,My order arrived a day early! Excellent service.,Positive,order arrived day early excellent service,Positive,0.5719
14,2024-11-07 14:00:30,Billing,I received a bill for a service I cancelled last month. Please correct this.,Negative,received bill service cancelled last month please correct,Positive,0.0772
15,2024-11-08 17:25:00,Product,The software for the smart camera is buggy and crashes frequently.,Negative,software smart camera buggy crash frequently,Neutral,0.0
16,2024-11-09 09:30:15,Service,The agent I spoke to was rude and dismissive. I'm very disappointed with the support I received.,Negative,agent spoke rude dismissive im disappointed support received,Negative,-0.5267
17,2024-11-10 13:15:00,Delivery,"The box was completely crushed when it arrived. Luckily the item inside seems okay, but the packaging was poor.",Negative,box completely crushed arrived luckily item inside seems okay packaging poor,Negative,-0.1851
18,2024-11-11 18:00:55,Product,This is the best vacuum cleaner I have ever owned. Amazing suction power.,Positive,best vacuum cleaner ever owned amazing suction power,Positive,0.8658
19,2024-11-12 21:10:00,Billing,Could you please clarify a charge on my recent invoice? The reference number is 84321.,Neutral,could please clarify charge recent invoice reference number,Positive,0.3818
20,2024-11-13 10:45:30,Service,No one has responded to the support ticket I raised three days ago.,Negative,one responded support ticket raised three day ago,Positive,0.4019
21,2024-11-14 15:20:00,Product,The user manual is very confusing and poorly translated.,Negative,user manual confusing poorly translated,Negative,-0.2263
22,2024-11-15 11:05:40,Delivery,I still have not received my order #98765. It was supposed to be here last Friday.,Negative,still received order supposed last friday,Neutral,0.0
23,2024-11-16 16:50:00,Product,My new headphones stopped working after just one use.,Negative,new headphone stopped working one use,Negative,-0.2263
24,2024-11-17 19:30:10,Service,The returns process is far too complicated. I shouldn't have to print three different forms.,Negative,return process far complicated shouldnt print three different form,Neutral,0.0
25,2024-11-18 10:00:00,Billing,My refund was processed much faster than I expected. Thank you!,Positive,refund processed much faster expected thank,Positive,0.3612
26,2024-11-19 14:45:00,Product,The fabric on the chair started pilling after only a few weeks.,Negative,fabric chair started pilling week,Neutral,0.0
27,2024-11-20 12:00:15,Delivery,"Tracking says my parcel was delivered, but I never received it. Where is it?",Negative,tracking say parcel delivered never received,Neutral,0.0
28,2024-11-21 09:10:00,Service,Your website is not mobile-friendly. It's very difficult to navigate on my phone.,Negative,website mobilefriendly difficult navigate phone,Negative,-0.3612
29,2024-11-22 17:55:00,Product,"The product is fine, it does what it is supposed to do.",Neutral,product fine supposed,Positive,0.2023
30,2024-11-23 20:25:30,Billing,There seems to be a mistake in my loyalty points calculation.,Negative,seems mistake loyalty point calculation,Positive,0.2732
31,2024-11-24 11:35:00,Delivery,The item was delivered to my neighbor's house by mistake.,Negative,item delivered neighbor house mistake,Negative,-0.34
32,2024-11-25 13:20:00,Product,The assembly instructions were missing from the box.,Negative,assembly instruction missing box,Negative,-0.296
33,2024-11-26 16:00:45,Service,I tried calling three times and the line was always busy.,Negative,tried calling three time line always busy,Neutral,0.0
34,2024-11-27 18:10:00,Product,The 'one-size-fits-all' hat is way too small.,Negative,onesizefitsall hat way small,Neutral,0.0
35,2024-11-28 10:50:00,Billing,Requesting a copy of my invoice from last month.,Neutral,requesting copy invoice last month,Neutral,0.0
36,2024-11-29 15:00:00,Delivery,Super fast shipping. I'm very impressed.,Positive,super fast shipping im impressed,Positive,0.7906
37,2024-11-30 09:40:20,Product,The device overheats very quickly during normal use.,Negative,device overheats quickly normal use,Neutral,0.0
38,2024-12-01 12:25:00,Service,The support staff needs better training. They couldn't answer my basic questions.,Negative,support staff need better training couldnt answer basic question,Positive,0.6808
39,2024-12-02 14:15:55,Product,The app that controls this device logs me out constantly. It's very frustrating.,Negative,app control device log constantly frustrating,Negative,-0.4404
40,2024-12-03 17:30:00,Billing,The promotional discount was not applied to my order total.,Negative,promotional discount applied order total,Neutral,0.0
41,2024-12-04 11:00:00,Product,This cream caused a bad skin reaction. The ingredients should be listed more clearly.,Negative,cream caused bad skin reaction ingredient listed clearly,Negative,-0.2023
42,2024-12-05 10:10:10,Delivery,Why is the shipping cost so high for such a small item?,Negative,shipping cost high small item,Neutral,0.0
43,2024-12-06 13:45:00,Service,The live chat feature on your website is never available.,Negative,live chat feature website never available,Neutral,0.0
44,2024-12-07 16:20:30,Product,"I love the design and color, but the performance is lacking.",Negative,love design color performance lacking,Positive,0.6369
45,2024-12-08 19:00:00,Billing,"I was promised a refund within 5 business days, it has been 10.",Negative,promised refund within business day,Positive,0.3612
46,2024-12-09 09:20:00,Product,The product arrived with a piece broken off.,Negative,product arrived piece broken,Negative,-0.4767
47,2024-12-10 11:40:00,Service,Your company policies are very anti-consumer.,Negative,company policy anticonsumer,Neutral,0.0
48,2024-12-11 15:05:15,Delivery,The delivery person was very courteous and professional.,Positive,delivery person courteous professional,Positive,0.5106
49,2024-12-12 18:30:00,General Inquiry,What are the operating hours for your main store?,Neutral,operating hour main store,Neutral,0.0
50,2024-12-13 10:00:00,Product,"It works, but it's much louder than I thought it would be.",Negative,work much louder thought would,Neutral,0.0
51,2024-12-14 14:50:00,Billing,"The automatic renewal feature is deceptive. It should be opt-in, not opt-out.",Negative,automatic renewal feature deceptive optin optout,Neutral,0.0
52,2024-12-15 17:10:25,Service,I sent an email inquiry last week and have received no response at all.,Negative,sent email inquiry last week received response,Neutral,0.0
53,2024-12-16 09:55:00,Product,The picture on the box is misleading. The actual product is much smaller.,Negative,picture box misleading actual product much smaller,Negative,-0.4019
54,2024-12-17 12:00:00,Delivery,The item was left in a secure location as I requested. Thank you.,Positive,item left secure location requested thank,Positive,0.5994
55,2024-12-18 16:35:00,Product,"After the latest firmware update, my device is completely bricked.",Negative,latest firmware update device completely bricked,Neutral,0.0
56,2024-12-19 19:00:45,Service,The hold music is incredibly annoying.,Negative,hold music incredibly annoying,Negative,-0.4576
57,2024-12-20 11:20:00,Billing,I am still waiting for the credit to be applied to my account.,Negative,still waiting credit applied account,Positive,0.3818
58,2024-12-21 13:40:10,Product,"The product itself is great, but the packaging it came in was damaged.",Negative,product great packaging came damaged,Positive,0.296
59,2024-12-22 15:00:00,General Inquiry,Can this product be used outdoors?,Neutral,product used outdoors,Neutral,0.0
60,2024-12-23 10:30:00,Delivery,My food order arrived cold and soggy.,Negative,food order arrived cold soggy,Neutral,0.0
61,2024-12-24 09:00:00,Product,The 'long-lasting' battery died within a month.,Negative,longlasting battery died within month,Negative,-0.5574
62,2024-12-26 18:15:00,Service,I'm tired of the automated responses. I need to speak with a real person about my issue.,Negative,im tired automated response need speak real person issue,Negative,-0.4404
63,2024-12-27 14:05:00,Billing,The price at checkout was higher than the price listed on the product page.,Negative,price checkout higher price listed product page,Neutral,0.0
64,2024-12-28 11:50:00,Product,The color faded significantly after the first wash.,Negative,color faded significantly first wash,Neutral,0.0
65,2024-12-29 16:25:30,Delivery,"The courier claimed nobody was home, but I was here all day waiting.",Negative,courier claimed nobody home day waiting,Neutral,0.0
66,2024-12-30 19:00:00,Product,"Fantastic product, it has made my daily routine so much easier.",Positive,fantastic product made daily routine much easier,Positive,0.7506
67,2025-01-02 10:10:10,Service,Your return policy is a nightmare. It is not customer-friendly at all.,Negative,return policy nightmare customerfriendly,Neutral,0.0
68,2025-01-03 12:40:00,Billing,Why did my monthly fee increase without any prior notification?,Negative,monthly fee increase without prior notification,Positive,0.3182
69,2025-01-04 15:00:00,Product,"The item I received is clearly a cheap knockoff, not the genuine brand.",Negative,item received clearly cheap knockoff genuine brand,Positive,0.4019
70,2025-01-05 17:30:00,General Inquiry,Is the blue model coming back in stock anytime soon?,Neutral,blue model coming back stock anytime soon,Neutral,0.0
71,2025-01-06 09:45:00,Delivery,"The delivery window was 9am-5pm, which is way too broad. I had to take a whole day off.",Negative,delivery window ampm way broad take whole day,Neutral,0.0
72,2025-01-07 11:30:50,Product,It stopped working right after the warranty expired. How convenient.,Negative,stopped working right warranty expired convenient,Negative,-0.2263
73,2025-01-08 14:20:00,Service,The instructions on the website for troubleshooting are incorrect.,Negative,instruction website troubleshooting incorrect,Positive,0.1779
74,2025-01-09 18:00:00,Product,This is not what I ordered. I received a completely different product.,Negative,ordered received completely different product,Neutral,0.0
